ServerType,ServerCost
c5.2xlarge,34
c5.4xlarge,68
c5a.2xlarge,30
c5d.2xlarge,38
c5.large,8
c5.xlarge,17
m4.2xlarge,40
m4.4xlarge,80
m5.2xlarge,38
m5.4xlarge,76
m5a.2xlarge,34
m5a.4xlarge,69
m5a.large,9
m5a.xlarge,17
m5.large,10
m5.xlarge,19
m6a.2xlarge,34
m6a.4xlarge,69
m6a.8xlarge,138
m6a.xlarge,17
m6i.2xlarge,38
m6i.4xlarge,76
m6i.8xlarge,154
m6i.xlarge,18
r4.2xlarge,53
r5.2xlarge,50
r5.4xlarge,100
r5.8xlarge,201
r5a.16xlarge,361
r5a.24xlarge,542
r5a.2xlarge,45
r5a.4xlarge,90
r5a.8xlarge,181
r5a.large,11
r5a.xlarge,22
r5.large,13
r5.xlarge,25
r6i.2xlarge,51
r6i.4xlarge,101
r6i.8xlarge,202
r6i.xlarge,25
t2.2xlarge,33
t2.medium,4
t2.micro,1
t2.small,2
t3.2xlarge,33
t3a.micro,1
t3a.micro,1
t3a.small,2
t3a.xlarge,15
t3.large,8
t3.medium,4
t3.micro,1
t3.small,2
